Frame_Number,Width_Pixels,Height_Pixels,Area_Pixels,Depth_mm
1761289060512,109,359,39131,
1761289061190,101,360,36360,
1761289061893,100,355,35500,
1761289062590,102,350,35700,
1761289063202,94,354,33276,
1761289063892,92,354,32568,
1761289064565,84,349,29316,
1761289065252,86,350,30100,
1761289065988,88,349,30712,
1761289066661,93,345,32085,
1761289067353,88,340,29920,
1761289068043,86,341,29326,
1761289068749,85,348,29580,
1761289069434,91,348,31668,
1761289070092,83,347,28801,
1761289070775,76,339,25764,
1761289071471,85,344,29240,
1761289072092,94,343,32242,
1761289072790,94,344,32336,
1761289073449,97,347,33659,
1761289074179,96,350,33600,
1761289074906,99,354,35046,
1761289075516,100,353,35300,
1761289076131,104,355,36920,
1761289076816,118,354,41772,
1761289077462,111,355,39405,
1761289078166,109,355,38695,
1761289078885,112,355,39760,
1761289079548,111,352,39072,
1761289080210,101,353,35653,
1761289080880,98,352,34496,
1761289081574,100,338,33800,
1761289082279,97,333,32301,
1761289082912,90,350,31500,
1761289083570,89,356,31684,
1761289084253,84,356,29904,
1761289084965,85,356,30260,
1761289085672,81,354,28674,
1761289086364,79,354,27966,
1761289087076,81,354,28674,
1761289087763,82,362,29684,
1761289088414,78,361,28158,
1761289089089,78,361,28158,
1761289089777,86,365,31390,
1761289090437,98,367,35966,
1761289091110,91,365,33215,
1761289091639,99,364,36036,
1761289092334,98,365,35770,
1761289093048,105,368,38640,
1761289093700,106,366,38796,
1761289094347,103,366,37698,
1761289095028,102,366,37332,
1761289095716,107,365,39055,
1761289096391,110,363,39930,
1761289097051,108,365,39420,
1761289097696,106,364,38584,
1761289098374,109,363,39567,
1761289098960,106,364,38584,
1761289099650,103,360,37080,
1761289100311,103,362,37286,
1761289101009,98,362,35476,
1761289101718,122,366,44652,
1761289102398,109,367,40003,
1761289103060,105,365,38325,
1761289103698,104,365,37960,
1761289104370,105,361,37905,
1761289105016,106,358,37948,
1761289105655,102,358,36516,
1761289106323,100,360,36000,
1761289106997,98,361,35378,
1761289107703,97,361,35017,
1761289108365,100,359,35900,
1761289109054,100,360,36000,
1761289109733,89,355,31595,
1761289110408,92,350,32200,
1761289111068,101,349,35249,
1761289111775,102,363,37026,
1761289112340,115,353,40595,
1761289113042,110,350,38500,
1761289113752,103,355,36565,
1761289114393,106,367,38902,
1761289115069,115,367,42205,
1761289115720,106,366,38796,
1761289116319,101,366,36966,
1761289116968,91,364,33124,
1761289117652,85,363,30855,
1761289118377,88,367,32296,
1761289119063,96,370,35520,
1761289119766,88,359,31592,
1761289120472,84,358,30072,
1761289121185,82,351,28782,
1761289121878,80,352,28160,
1761289122567,77,353,27181,
1761289123257,74,360,26640,
1761289123916,77,357,27489,
1761289124586,80,365,29200,
1761289125279,81,360,29160,
1761289125857,85,356,30260,
1761289126582,92,352,32384,
1761289127284,90,361,32490,
1761289127979,98,358,35084,
1761289128651,104,358,37232,
1761289129292,104,355,36920,
1761289129973,105,359,37695,
1761289130656,97,360,34920,
1761289131363,100,356,35600,
1761289132034,108,355,38340,
1761289132736,109,352,38368,
1761289133389,113,351,39663,
1761289134108,108,353,38124,
1761289134717,101,353,35653,
1761289135339,105,353,37065,
1761289136006,110,352,38720,
1761289136704,107,353,37771,
1761289137415,102,348,35496,
1761289138085,109,353,38477,
1761289138764,116,351,40716,
1761289139429,107,349,37343,
1761289140126,108,335,36180,
1761289140807,106,338,35828,
1761289141520,105,343,36015,
1761289142191,107,346,37022,
1761289142823,97,349,33853,
1761289143525,94,348,32712,
1761289144230,91,348,31668,
1761289144840,87,349,30363,
1761289145557,93,350,32550,
1761289146223,89,352,31328,
1761289146877,89,350,31150,
1761289147564,90,349,31410,
1761289148216,87,348,30276,
1761289148846,83,348,28884,
1761289149577,76,351,26676,
