Frame_Number,Width_Pixels,Height_Pixels,Area_Pixels,Depth_mm
1761286042466,110,447,49170,
1761286043140,111,448,49728,
1761286043795,114,450,51300,
1761286044498,110,451,49610,
1761286045076,111,452,50172,
1761286045779,113,452,51076,
1761286046420,114,453,51642,
1761286047095,113,453,51189,
1761286047782,115,452,51980,
1761286048478,111,445,49395,
1761286049133,111,442,49062,
1761286049822,112,440,49280,
1761286050494,117,436,51012,
1761286051210,143,441,63063,
1761286051851,129,431,55599,
1761286052528,125,431,53875,
1761286053228,118,444,52392,
1761286054520,126,449,56574,
1761286055168,145,438,63510,
1761286055853,111,438,48618,
1761286056562,134,424,56816,
1761286057247,144,433,62352,
1761286057871,125,439,54875,
1761286058576,138,438,60444,
1761286059275,178,432,76896,
1761286059888,148,418,61864,
1761286060549,126,423,53298,
1761286061226,117,424,49608,
1761286061917,155,428,66340,
1761286062581,167,428,71476,
1761286063242,171,426,72846,
1761286063915,163,420,68460,
1761286070422,101,421,42521,
1761286071105,105,430,45150,
1761286071777,104,432,44928,
1761286072437,105,435,45675,
1761286073085,104,433,45032,
1761286073775,111,445,49395,
1761286074502,126,455,57330,
1761286075180,117,453,53001,
1761286075821,106,448,47488,
1761286076455,127,446,56642,
1761286077148,147,455,66885,
1761286077842,161,453,72933,
1761286078520,159,448,71232,
1761286079177,166,436,72376,
1761286079883,176,451,79376,
1761286080574,170,451,76670,
1761286081230,171,455,77805,
1761286081853,171,456,77976,
1761286082537,172,456,78432,
1761286083169,172,464,79808,
1761286083860,178,465,82770,
1761286084492,160,465,74400,
1761286085182,125,457,57125,
1761286085846,108,459,49572,
1761286086548,114,461,52554,
